msa.fips,msa.name,pop,pop.growth,surface.water,dem.share,dem.share.natl,pvi,city,area,pop.dens,pop.dens.growth
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",383995,0.0024593547727465113,0.7805695142378559,0.5812980933265326,0.5282701767821113,5.30279165444213,DavenportIA,2269.9126690934477,2218.582773093313,-0.0038654297381281962
19380,"Dayton, OH Metro Area",801145,2.6288711141012283e-4,0.015161823306443774,0.4771132820401748,0.5282701767821113,-5.115689474193652,DaytonOH,1705.9826501126647,2243.37045145074,-0.013424187255001056
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",610290,0.008161573701445154,0,0.506838480047186,0.5282701767821113,-2.1431696734925287,DeltonaFL,1101.031622540336,1871.2830236018303,-0.006281705692635002
19740,"Denver-Aurora-Lakewood, CO Metro Area",2755856,0.01897102983805851,0.8482436018531012,0.5773249660191875,0.5282701767821113,4.9054789237076175,DenverCO,8346.05937826739,4803.694859469225,-0.0055250210006341895
19780,"Des Moines-West Des Moines, IA Metro Area",612156,0.016970344486558438,0.5740413925878388,0.5466367587742735,0.5282701767821113,1.8366581992162234,DesMoinesIA,2883.695071174075,2375.0015474538873,-0.008138033859919368
19820,"Detroit-Warren-Dearborn, MI Metro Area",4301480,5.930571370945995e-4,0.951560442350104,0.6151950466364025,0.5282701767821113,8.692486985429115,DetroitMI,3888.4047980145083,3800.373281545559,-0.01765569097767334
20260,"Duluth, MN-WI Metro Area",279983,2.117096078311294e-4,0.8480170348682459,0.6571528156942915,0.5282701767821113,12.88826389121802,DuluthMN,8412.918402324643,1377.101210264466,-0.003677071106766585
20500,"Durham-Chapel Hill, NC Metro Area",543217,0.016696331880842935,0.987612989621694,0.7015326976615939,0.5282701767821113,17.32625208794826,DurhamNC,1758.440044895961,1860.3715763005184,9.177780764592448e-5
21340,"El Paso, TX Metro Area",838756,0.009617446856900653,0.45351473922902497,0.6629707895303892,0.5282701767821113,13.470061274827794,ElPasoTX,1012.693072323115,4318.344109571383,-0.0045872117264460785
21500,"Erie, PA Metro Area",278936,-0.0016419276114522968,0.8824446523230434,0.5909946774175681,0.5282701767821113,6.272450063545676,EriePA,799.1540829532801,3298.457383624175,-0.003115671773185699
