msa.fips,dem.share,dem.share.natl,pvi
13980,0.4644606654464004,0.5282701767821113,-6.380951133571089
14010,0.4678662756771418,0.5282701767821113,-6.0403901104969515
14020,0.603203460657332,0.5282701767821113,7.4933283875220695
14100,0.4455238194642165,0.5282701767821113,-8.27463573178948
14140,0.2924207621137022,0.5282701767821113,-23.58494146684091
14180,0.49173637842590157,0.5282701767821113,-3.6533798356209735
14220,0.34394514299863715,0.5282701767821113,-18.432503378347416
14260,0.40940034932554037,0.5282701767821113,-11.886982745657093
14300,0.26662535217531624,0.5282701767821113,-26.164482460679505
14340,0.5364592018674958,0.5282701767821113,0.8189025085384549
14380,0.5028830892542189,0.5282701767821113,-2.5387087527892427
14420,0.14269475266535742,0.5282701767821113,-38.557542411675385
14460,0.6188559781225078,0.5282701767821113,9.058580134039651
