GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,310M200US16540,16540,"United States - In metropolitan statistical area - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149618,149618,149948,151037,151618,152181,152951,153638
0100000US,,United States,310M200US16580,16580,"United States - In metropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",231891,231889,232290,233313,234583,236022,237579,238984
0100000US,,United States,310M200US16620,16620,"United States - In metropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",227078,227071,226895,225783,225735,224654,222824,220614
0100000US,,United States,310M200US16700,16700,"United States - In metropolitan statistical area - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",664607,664643,667496,681220,697040,711405,726969,744526
0100000US,,United States,310M200US16740,16740,"United States - In metropolitan statistical area - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2223672,2256845,2295310,2336266,2379177,2426363
0100000US,,United States,310M200US16820,16820,"United States - In metropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",218705,218707,219094,221300,223085,224590,226860,229514
0100000US,,United States,310M200US16860,16860,"United States - In metropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",528143,528145,529220,533350,538148,542149,544197,547776
0100000US,,United States,310M200US16940,16940,"United States - In metropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",91738,91881,92271,92663,94894,96006,96469,97121
0100000US,,United States,310M200US16980,16980,"United States - In metropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9471357,9495578,9520766,9545362,9557294,9551031
0100000US,,United States,310M200US17020,17020,"United States - In metropolitan statistical area - Chico, CA Metro Area","Chico, CA Metro Area",220000,220000,219977,220019,221205,222154,224033,225411
